id,name,symbol,price,volume_change_24h,percent_change_1h,percent_change_24h,percent_change_7d,percent_change_30d,percent_change_60d,percent_change_90d,market_cap,volume_24h,last_updated
347,Venus BUSD,vBUSD,0.02211166086710588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59585850.747331515,0.0,2023-10-26 20:11:00
348,MARBLEX,MBX,0.6034747438686165,-12.714,-0.02334207,-1.62173781,1.74187886,-2.11079114,-26.70556862,-35.66278377,59490040.37315461,2542345.12179523,2023-10-26 20:11:00
349,Braintrust,BTRST,0.39057144760882434,-5.3034,0.01174609,-0.95787907,-0.15789764,24.79488152,28.11917487,37.55427798,59450436.07718643,525725.53847203,2023-10-26 20:12:00
350,Bytom,BTM,0.032982269550523996,72.0983,-0.49770056,2.07016096,7.563651,1.51581549,26.54490531,34.13933273,59430012.28797289,632672.75134912,2023-10-26 20:11:00
351,World Mobile Token,WMT,0.13646898146882194,8.5217,-0.21039247,-0.83048846,1.89992736,18.10483182,25.28873636,10.24013115,58851133.00775371,1551256.57485907,2023-10-26 20:11:00
352,Sun (New),SUN,0.006037840381311565,-10.2443,0.21320844,-1.40798803,7.08266377,13.57647985,13.31937186,0.93451505,58264030.43444576,12268083.67794044,2023-10-26 20:12:00
353,Secret,SCRT,0.27594622502821503,6.0916,0.54291385,-4.47989065,10.62246358,10.06516231,0.72099731,-17.46632597,58243736.26619897,3126499.18751956,2023-10-26 20:11:00
354,Hashflow,HFT,0.2687457700720991,15.8403,0.73055172,2.82968378,27.67777651,-12.16203459,-19.17006465,-21.26063858,58242884.86650429,23217724.50297938,2023-10-26 20:11:00
355,MovieBloc,MBL,0.0034595012696759125,-37.4284,0.19264348,-4.40967778,11.34158126,19.31795062,24.02176288,5.87047262,58138208.84341316,8787165.39839033,2023-10-26 20:11:00
356,ARPA,ARPA,0.046592438442519285,48.8283,1.01960102,1.35634639,17.89876823,8.30901499,15.84868009,-9.64321112,57909224.05162369,20355485.0181647,2023-10-26 20:11:00
357,Vai,VAI,1.0003335637262927,-90.5007,0.0005017,0.08411711,-0.01806001,1.60257128,1.71506934,3.56459974,57517733.43192868,4230.00343668,2023-10-26 20:12:00
358,Verasity,VRA,0.005601554251243969,40.2602,0.6763185,-2.8744311,22.56425169,47.69211958,31.94551731,30.45172204,57415409.111222446,18950268.1948631,2023-10-26 20:11:00
359,Linear Finance,LINA,0.009982304704759113,-11.6218,0.7291763,-3.031525,18.76044862,-7.00764016,-1.78391004,-23.65929863,57397797.68157441,19036533.64960177,2023-10-26 20:11:00
360,Arkham,ARKM,0.38033132841661843,-53.1855,0.8304887,-1.62217385,27.32063973,1.04024253,0.81942617,-29.34830856,57049699.26249276,31697182.0188596,2023-10-26 20:11:00
361,Astrafer,ASTRAFER,0.3639168550882518,-21.1,0.29169046,-0.26127238,8.66770158,-10.22205025,-19.36029279,-49.47609289,56922815.474856034,21630.79438997,2023-10-26 20:11:00
362,Ultra,UOS,0.16165494569593267,-65.964,0.6673485,-2.26601567,14.67449811,8.42600596,-0.5385137,-7.73057747,56350388.632833384,987114.82059249,2023-10-26 20:12:00
363,Everscale,EVER,0.02875816176088928,14.2734,-2.83706215,5.9007475,18.67898147,-44.05474269,-44.90339205,-49.82352812,55490577.44133446,1356084.73150594,2023-10-26 20:12:00
364,Adventure Gold,AGLD,0.7872508108906339,-54.7016,-2.13793114,-12.77998566,49.06674722,15.77437506,60.1766036,18.35783184,55241390.18744659,57877412.38012975,2023-10-26 20:12:00
365,Cobak Token,CBK,0.6970976124988927,600.554,0.4933398,2.89911586,18.0293857,18.13491435,22.6481921,18.63675998,54989859.91502206,26927725.72600342,2023-10-26 20:11:00
366,MOBOX,MBOX,0.25715535929148264,6.4754,0.8348087,5.6648658,25.45471463,11.63701856,0.20359374,-7.86370295,54947827.23275528,18869850.56278076,2023-10-26 20:11:00
367,Carry,CRE,0.005478217545251144,89.017,-0.69986114,-0.11828288,13.10555443,16.19847924,37.5097456,45.93388788,54782175.452511445,18876109.45649033,2023-10-26 20:11:00
368,AVINOC,AVINOC,0.1407458188100123,9.4249,0.03119658,29.77538194,27.78453172,-13.10986047,1.21074601,-3.03005706,54784531.956227556,70079.47858178,2023-10-26 20:12:00
369,COTI,COTI,0.043051644131047354,17.5856,0.78519611,0.93345585,16.33592604,-2.08370418,11.10564304,-4.64095786,54331745.17397213,5543773.56643236,2023-10-26 20:11:00
370,RACA,RACA,0.000158294157263668,79.0002,3.01137514,7.23886304,57.08674595,75.44804746,63.20308895,40.75841996,54204595.709751844,25273592.68386694,2023-10-26 20:12:00
371,Aergo,AERGO,0.12178555098951632,-63.5345,0.40106871,-5.42448506,14.80038093,21.98678618,29.15041622,9.50646951,54194570.16097485,9392659.45850089,2023-10-26 20:11:00
372,Function X,FX,0.1321344513691041,-70.9339,-0.26286228,-4.69690511,12.20587582,12.99776348,5.17391559,-11.40149661,53979613.245305546,7352743.63774991,2023-10-26 20:11:00
373,Energy Web Token,EWT,1.7966655042661444,41.8013,-1.433451,-6.58586615,5.73235673,0.84305719,-20.89775741,-31.80566491,54011606.32908842,1978599.87428765,2023-10-26 20:12:00
374,EURC,EURC,1.0558391960387563,-2.9723,-0.02316783,-0.22203298,-0.14665962,-0.08705611,-2.15222114,-4.03151024,53731143.39018716,3322406.65128748,2023-10-26 20:12:00
375,Metadium,META,0.03141628595036205,12.2792,0.38266303,-1.47334831,-25.36983914,39.25427953,31.55465345,12.03205324,53521058.69505027,7972248.2604209,2023-10-26 20:11:00
376,Hifi Finance,HIFI,0.5552592552824417,506.5845,0.63048315,5.29713116,14.39616486,-23.51441827,21.23406984,73.1818149,52756739.40767437,60073973.94126008,2023-10-26 20:11:00
377,Dusk,DUSK,0.12479266909099206,36.8218,0.80112661,0.50963076,19.11912328,11.27531031,25.93056913,-3.02344316,52558230.764715284,8033826.97759094,2023-10-26 20:11:00
378,Saitama,SAITAMA,0.0011848441573590984,-4.8024,0.77715012,-4.82603739,13.70928291,66.32550729,87.67358192,52.80434913,52518091.36223121,502188.95048229,2023-10-26 20:12:00
379,Metacraft,MCT,0.9942461045285952,-2.7115,-0.00169224,2.46417766,2.17416088,-2.0355472,26.76037093,27.06352738,52358113.42011289,7591.87078131,2023-10-26 20:11:00
380,Mdex,MDX,0.05500445484707974,-12.2099,1.15082656,3.0268336,4.45683283,-0.24088572,-5.27663308,-16.95394563,52267814.76149709,4728316.4999251,2023-10-26 20:12:00
381,Spell Token,SPELL,0.00048657274037380827,22.2253,0.44741916,2.10538594,14.87905829,-3.20982353,23.67262004,3.40587055,52260651.218787655,7857501.0325328,2023-10-26 20:12:00
382,Artificial Liquid Intelligence,ALI,0.014498934278072632,83.9657,-0.11511282,2.82175445,6.51469281,-8.60909932,-8.62883264,-21.73938811,52024549.0832122,496660.46932633,2023-10-26 20:11:00
383,Hooked Protocol,HOOK,0.8899573734187038,65.396,0.82568695,5.78143873,24.5573523,6.14889231,17.09926882,-7.78981795,52004579.08693319,16625631.99854188,2023-10-26 20:12:00
384,Tokamak Network,TON,1.4181417446352846,98.8785,-0.00294633,-3.83000806,9.47795196,15.45166114,2.71444795,0.69870296,50731773.15966206,8174258.78899193,2023-10-26 20:11:00
385,Starlink,STARL,5.041962162985224e-06,126.5999,5.0419476,76.1641619,15.83905263,608.20055196,752.03433512,522.68030415,50314607.792466946,46723883.02654089,2023-10-26 20:11:00
386,Gods Unchained,GODS,0.19944498243484537,48.1997,0.17845079,-3.40774103,40.53540014,24.01610312,19.82174947,29.60382272,50114280.87253547,2046803.24139753,2023-10-26 20:11:00
387,Synapse,SYN,0.3556000157853639,-35.1322,0.70858836,-12.23010049,20.33065747,14.04413048,-14.54859613,-44.79761566,49703414.7119736,13320608.1704027,2023-10-26 20:11:00
388,FUNToken,FUN,0.004532362769253299,43.3188,0.30204966,-1.24940602,-7.1694579,16.7497806,5.23378311,-0.03537813,49687425.22509612,1205648.89125736,2023-10-26 20:11:00
389,Wirex Token,WXT,0.004942595407841516,-29.7477,0.4964242,-0.95039545,0.04845789,9.74530868,30.00363706,36.87523903,49425954.07841516,147763.83725135,2023-10-26 20:11:00
390,SOMESING,SSX,0.017288299834666565,52.8415,-0.54908888,-0.83751688,0.94194211,18.48181272,21.55686397,-1.10430459,49396036.6196008,12397066.9225132,2023-10-26 20:11:00
391,Badger DAO,BADGER,2.461184736386603,-21.0596,0.50563163,-2.83864472,17.95356086,23.58849931,25.45742586,13.04032971,49274437.5089194,6179130.87501118,2023-10-26 20:11:00
392,Efinity Token,EFI,0.051880341672521424,1.2275,-0.85640482,0.91941817,9.8360526,-4.89714827,6.00801027,-15.18374924,49178292.060876444,85289.25388462,2023-10-26 20:11:00
393,ABBC Coin,ABBC,0.033246348209461166,-7.0074,-0.02086122,-0.23670556,9.55686931,-9.20826467,-34.5024372,-41.16690077,49097582.88212814,6838068.15911057,2023-10-26 20:11:00
394,MyNeighborAlice,ALICE,0.8277405911895493,13.1147,1.35198179,2.96759123,24.44022673,13.53978842,9.25171886,-13.11674776,49036103.606275074,16526905.90965649,2023-10-26 20:11:00
395,PLANET,PLANET,5.752920071239334e-05,-14.1754,0.14214844,-1.54518421,18.34818041,7.47117638,14.54530727,-11.8519159,48983239.99794459,31887857.08639677,2023-10-26 20:11:00
396,AllianceBlock Nexera,NXRA,0.06434729556770986,-4.7166,2.15773394,-6.70017116,1.24861564,29.69720582,9.62250029,-8.27106607,48403480.677378096,835454.85158784,2023-10-26 20:12:00
397,Ren,REN,0.048422581483695215,42.4261,0.505915,-0.30683959,18.62250558,6.01914508,4.17104503,-19.70445239,48380332.798874214,19739696.14953853,2023-10-26 20:11:00
398,DEXTools,DEXT,0.5281789550553678,-31.0928,0.54334556,1.00113889,14.62403279,1.00773346,4.67783708,-11.91881766,47836835.60246233,122395.85317775,2023-10-26 20:11:00
399,Unifi Protocol DAO,UNFI,7.780516854723019,-31.0002,-0.26092665,-13.83524527,32.08341016,3.74452962,59.9263869,144.32012686,47653984.10690585,38317933.88243046,2023-10-26 20:11:00
400,FLEX,FLEX,0.48047110475151367,-5.145,0.11026106,-0.1607596,-7.58382199,3.86326736,-90.86499632,-88.92670607,47405652.09689584,87718.70048533,2023-10-26 20:12:00
401,VerusCoin,VRSC,0.6319497515225824,-7.077,-0.0085719,-0.76095231,-27.073135,48.22033783,30.86173233,34.41252051,47123156.46020679,4306.830975,2023-10-26 20:11:00
